chage: changed password expiry for user1 
chage: changed password expiry for user1 
chage: changed password expiry for user2 
chage: changed password expiry for user2 
chage: changed password expiry for user3 
chage: changed password expiry for user3 
chpasswd: pam_unix(chpasswd:chauthtok): password changed for root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session closed for user root 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
CRON: pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0) 
